general_red_level,' vas_mean_hue',' vas_mean_sat',' bulb_mean_hue',' bulb_mean_sat',' vascular_area',' expert_lvl'
34.505333,0.053971,0.399966,0.062306,0.355254,0.11256,1.1
33.505181,0.053865,0.402895,0.062464,0.356797,0.106964,1.1
34.233578,0.053898,0.402197,0.062252,0.356737,0.110537,1.1
31.338992,0.053867,0.407929,0.062917,0.361201,0.091121,1.1
33.99892,0.053648,0.400745,0.061811,0.357697,0.107199,1.1
21.129821,0.042348,0.216672,0.05134,0.172769,0.05911,1.5
20.747236,0.041996,0.216193,0.05164,0.171107,0.058737,1.5
19.702385,0.042116,0.211192,0.05213,0.166743,0.055005,1.5
19.856862,0.04226,0.211903,0.052449,0.167529,0.055536,1.5
19.461538,0.042393,0.209741,0.052438,0.165588,0.054364,1.5
17.408319,0.032518,0.147971,0.036237,0.121475,0.073167,1.5
17.169436,0.034084,0.148838,0.03646,0.123638,0.073647,1.5
17.352765,0.034634,0.149434,0.036197,0.126566,0.071795,1.5
17.196938,0.035028,0.149412,0.036491,0.12566,0.072783,1.5
17.224506,0.034414,0.149245,0.036617,0.124277,0.074691,1.5
11.312389,0.047261,0.118097,0.055184,0.096989,0.054351,1.3
12.054348,0.050928,0.122201,0.055695,0.099856,0.057353,1.3
14.85291,0.045883,0.140465,0.05313,0.117592,0.064558,1.3
11.090573,0.046921,0.117199,0.054766,0.096965,0.051579,1.3
11.536008,0.047147,0.119722,0.054521,0.098733,0.054555,1.3
40.422991,0.046776,0.373169,0.057051,0.315037,0.151994,2
40.94999,0.046864,0.371559,0.057016,0.313206,0.155822,2
39.204229,0.047728,0.363063,0.057691,0.309501,0.146813,2
39.427496,0.047426,0.366926,0.057462,0.31209,0.149056,2
39.37306,0.047665,0.36582,0.057621,0.311484,0.148111,2
39.319161,0.033768,0.375057,0.041732,0.335417,0.207942,2
39.038432,0.034555,0.37263,0.042712,0.330802,0.209002,2
38.67804,0.034646,0.369329,0.042818,0.327251,0.20909,2
38.379177,0.035065,0.368965,0.043234,0.327946,0.207967,2
38.6256,0.035174,0.372999,0.043236,0.333114,0.207437,2
35.502326,0.049354,0.430759,0.057375,0.386905,0.152342,2.3
36.035371,0.047693,0.443874,0.054449,0.407016,0.148051,2.3
36.041341,0.04741,0.438948,0.054585,0.399541,0.149089,2.3
36.262208,0.047312,0.444958,0.054615,0.405072,0.149527,2.3
36.108324,0.04752,0.434753,0.054864,0.394239,0.150141,2.3
54.905895,0.036706,0.600978,0.043314,0.562582,0.123846,3
55.212524,0.036509,0.602492,0.042924,0.565659,0.123471,3
55.411523,0.036091,0.605547,0.042443,0.568814,0.124024,3
54.981015,0.036309,0.602539,0.042624,0.566571,0.124153,3
55.686629,0.03626,0.606087,0.042834,0.567598,0.124189,3
48.134344,0.035564,0.431854,0.045673,0.354856,0.21417,2.5
47.620065,0.035303,0.432908,0.045188,0.357872,0.215175,2.5
46.217214,0.034986,0.427759,0.045048,0.353399,0.212864,2.5
47.199647,0.035009,0.429205,0.044863,0.35544,0.214393,2.5
47.527346,0.035264,0.429446,0.045272,0.354384,0.215071,2.5
54.52184,0.03365,0.534988,0.039441,0.49527,0.191211,3.2
55.081279,0.033597,0.536019,0.039709,0.492359,0.192798,3.2
55.759304,0.033094,0.547792,0.038837,0.50778,0.188848,3.2
54.932886,0.033421,0.542439,0.038968,0.506655,0.185683,3.2
55.635589,0.033302,0.540422,0.039383,0.496484,0.192304,3.2
94.304716,0.02596,0.557035,0.030232,0.539628,0.229593,3.6
87.129945,0.027581,0.530976,0.033167,0.499718,0.231561,3.6
89.520947,0.027758,0.538929,0.033405,0.502509,0.234411,3.6
88.96753,0.027516,0.537272,0.033037,0.50483,0.232573,3.6
87.210223,0.027887,0.526565,0.034339,0.482526,0.235961,3.6
44.191515,0.04078,0.533088,0.051686,0.461083,0.184251,3.3
45.613881,0.039429,0.551371,0.050162,0.47928,0.183043,3.3
44.943569,0.039825,0.546112,0.050296,0.474781,0.182963,3.3
44.159768,0.040402,0.541309,0.050941,0.469707,0.184825,3.3
44.161533,0.040501,0.53971,0.051237,0.467416,0.184385,3.3
